#angle	angle_deriv	baseline_angle	action
0.122205723243	0.0327674636416	-0.00856201665786	0.0
0.119855933508	0.0802939105186	-0.00738701584664	0.0
0.110923142949	0.178170242127	-0.00637117473206	0.0
0.103569647689	0.244876666433	-0.0054934713153	0.0
0.0952779582352	0.305822985187	-0.00473552179097	0.0
0.0862145215083	0.359912017348	-0.00408128557658	0.0
0.0814460645056	0.384098690027	-0.0035167935775	0.0
0.0715832326822	0.393399102673	-0.00302990074579	0.0
0.0563278414641	0.472418062247	-0.00261006284678	0.0
0.0460894861419	0.491884720933	-0.00224813658047	0.0
0.0359403289807	0.502741925276	-0.00193620172034	0.0
0.0309226215835	0.505234429221	-0.00166740365371	0.0
0.0210431706943	0.505400619879	-0.00143581457785	0.0
0.00666927451351	0.496585669506	-0.00123631157832	0.0
-0.00259488002415	0.434946061177	-0.00106446985798	0.0
-0.0116102231346	0.243301058461	-0.000916469471246	0.0
-0.0203802066434	0.105424149401	-0.000789014030202	0.0
-0.0246729796669	-0.036298089726	-0.000679259975214	0.0
-0.0330482295175	-0.263789550039	-0.000584755132528	0.0
-0.0411108658192	-0.385159857951	-0.000503385410043	0.0
-0.0524879071363	-0.408776840017	-0.00043332860554	0.0
-0.056056645076	-0.356764384326	-0.000373014416918	0.0
-0.0627698080175	-0.380968283506	-0.000321089850293	0.0
-0.0715422165242	-0.384939870067	-0.000276389318462	0.0
-0.0740504378726	-0.329395720534	-0.000237908809419	0.0
-0.0782802084069	-0.257923012706	-0.000204783582493	0.0
-0.0826392204139	-0.265825753379	-0.000176268918936	0.0
-0.0835575115908	-0.207877035733	-0.000151723515014	0.0
-0.084693397686	-0.131511811618	-0.000130595159548	0.0
-0.0845347809943	-0.104843431218	-0.000112408385117	0.0
-0.0834260112161	-0.0514580280917	-9.67538235506e-05	0.0
-0.0812882830383	0.013509373756	-8.32790323886e-05	0.0
-0.0781702720056	0.0538723958526	-7.16805904507e-05	0.0
-0.074142265092	0.105511325939	-6.16972879932e-05	0.0
-0.0665899437324	0.179448372619	-5.31042606491e-05	0.0
-0.0606961975432	0.227298136729	-4.57079369261e-05	0.0
-0.0575330084676	0.237552745707	-3.93416868557e-05	0.0
-0.0474132882182	0.307569837874	-3.38620748098e-05	0.0
-0.040312714068	0.33829551024	-2.91456328306e-05	0.0
-0.0330937563614	0.334961873711	-2.50860823419e-05	0.0
-0.0294710373043	0.312251602388	-2.1591942066e-05	0.0
-0.0222556838754	0.352773245922	-1.85844685515e-05	0.0
-0.0151198499711	0.322934382471	-1.59958831359e-05	0.0
-0.00464606994561	0.356666441224	-1.37678455573e-05	0.0
-0.00122292271287	0.318708336485	-1.18501399406e-05	0.0
0.00884637924706	0.206246580573	-1.019954364e-05	0.0
0.0153896962381	0.0686598763724	-8.77885351125e-06	0.0
0.0217693721413	-0.0664952217014	-7.55604772051e-06	0.0
0.0248858693299	-0.202397993843	-6.50356423326e-06	0.0
0.0309277136045	-0.297047908916	-5.5976797525e-06	0.0
0.0393738578649	-0.305274786178	-4.81797512575e-06	0.0
0.0419833810086	-0.265936847705	-4.14687518696e-06	0.0
0.0467850381781	-0.250156660368	-3.56925267408e-06	0.0
0.0509301663204	-0.260442969905	-3.0720873011e-06	0.0
0.0557991776876	-0.248714640831	-2.64417230733e-06	0.0
0.0570503959231	-0.176765380581	-2.2758618724e-06	0.0
0.0589760815262	-0.169927005176	-1.95885370874e-06	0.0
0.060123822112	-0.133387839339	-1.68600193184e-06	0.0
0.060487505357	-0.0955733903654	-1.45115599259e-06	0.0
0.0595803093758	-0.037811316882	-1.24902204285e-06	0.0
0.0588989846266	-0.0184858870354	-1.07504360908e-06	0.0
0.0569961300701	0.0197995145609	-9.25298886456e-07	0.0
0.0544109114796	0.0571291063242	-7.96412337412e-07	0.0
0.0493891347366	0.110983706204	-6.8547860349e-07	0.0
0.0453845283408	0.14195781035	-5.89997014244e-07	0.0
0.0432151850242	0.156837996024	-5.07815219708e-07	0.0
0.0361998962938	0.207962337763	-4.37080672044e-07	0.0
