Tue Apr 19 14:29:00 2016    prof

         750002 function calls (710226 primitive calls) in 1.671 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      246    0.001    0.000    0.003    0.000 __init__.py:2636(_get_metadata)
        1    0.001    0.001    0.003    0.003 ctypeslib.py:51(<module>)
      470    0.001    0.000    0.003    0.000 version.py:246(__str__)
        1    0.001    0.001    0.003    0.003 urllib2.py:76(<module>)
     2237    0.003    0.000    0.003    0.000 {range}
       87    0.000    0.000    0.003    0.000 docstring.py:100(dedent_interpd)
      486    0.000    0.000    0.003    0.000 __init__.py:1368(safe_name)
        2    0.002    0.001    0.003    0.001 Image.py:27(<module>)
     2678    0.003    0.000    0.003    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
        1    0.001    0.001    0.003    0.003 index_tricks.py:1(<module>)
        1    0.001    0.001    0.003    0.003 pilutil.py:7(<module>)
       84    0.003    0.000    0.003    0.000 {numpy.core.multiarray.array}
        1    0.003    0.003    0.003    0.003 socket.py:45(<module>)
        1    0.000    0.000    0.003    0.003 urlparse.py:29(<module>)
        1    0.001    0.001    0.003    0.003 transforms.py:30(<module>)
        1    0.001    0.001    0.003    0.003 npyio.py:1(<module>)
       77    0.003    0.000    0.003    0.000 {method 'read' of 'file' objects}
        1    0.002    0.002    0.003    0.003 Tkinter.py:31(<module>)
        1    0.000    0.000    0.003    0.003 csr.py:1(<module>)
        1    0.001    0.001    0.003    0.003 compat.py:3(<module>)
        1    0.000    0.000    0.003    0.003 result.py:1(<module>)
     1442    0.002    0.000    0.003    0.000 __init__.py:2548(key)
      496    0.000    0.000    0.003    0.000 re.py:144(sub)
        1    0.000    0.000    0.003    0.003 charset.py:6(<module>)
      406    0.002    0.000    0.003    0.000 package.py:250(__init__)
      630    0.002    0.000    0.003    0.000 ElementPath.py:247(iterfind)
     2355    0.002    0.000    0.003    0.000 package.py:583(_get_node_attr)
     2073    0.002    0.000    0.003    0.000 lookup.py:57(__init__)
        1    0.000    0.000    0.002    0.002 fontconfig_pattern.py:69(__init__)
      630    0.002    0.000    0.002    0.000 {_elementtree.XMLParser}
       34    0.000    0.000    0.002    0.000 __init__.py:2274(normalize_path)
        1    0.001    0.001    0.002    0.002 textpath.py:3(<module>)
        1    0.001    0.001    0.002    0.002 core.py:21(<module>)
        1    0.001    0.001    0.002    0.002 colors.py:50(<module>)
        1    0.000    0.000    0.002    0.002 decoder.py:2(<module>)
      162    0.000    0.000    0.002    0.000 package.py:552(_get_node)
     4129    0.002    0.000    0.002    0.000 {method 'keys' of 'dict' objects}
     2577    0.002    0.000    0.002    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.002    0.002 init.py:39(<module>)
        1    0.001    0.001    0.002    0.002 __init__.py:4(<module>)
        1    0.000    0.000    0.002    0.002 os_detect.py:331(is_os)
        1    0.000    0.000    0.002    0.002 client.py:437(get_param)
        1    0.000    0.000    0.002    0.002 os_detect.py:44(_read_stdout)
        1    0.000    0.000    0.002    0.002 util.py:1(<module>)
     1032    0.001    0.000    0.002    0.000 pyexpat.c:618(EndElement)
     1812    0.002    0.000    0.002    0.000 {hasattr}
        1    0.001    0.001    0.002    0.002 ElementTree.py:59(<module>)
        1    0.000    0.000    0.002    0.002 polynomial.py:3(<module>)
        1    0.000    0.000    0.002    0.002 distribution.py:34(<module>)
       32    0.002    0.000    0.002    0.000 {imp.load_module}
        1    0.000    0.000    0.002    0.002 roslogging.py:35(<module>)
        1    0.001    0.001    0.002    0.002 contour.py:4(<module>)
      239    0.000    0.000    0.002    0.000 __init__.py:2238(fixup_namespace_packages)
        1    0.000    0.000    0.002    0.002 os_detect.py:476(is_os)
        2    0.000    0.000    0.002    0.001 platform.py:1299(system)
        2    0.000    0.000    0.002    0.001 pyparsing.py:3215(srange)
        2    0.000    0.000    0.002    0.001 platform.py:1162(uname)
        1    0.000    0.000    0.002    0.002 markers.py:5(<module>)
        1    0.000    0.000    0.002    0.002 platform.py:1018(_syscmd_uname)
      176    0.001    0.000    0.002    0.000 genericpath.py:26(isfile)
        1    0.000    0.000    0.002    0.002 base64mime.py:25(<module>)
        1    0.001    0.001    0.002    0.002 legend.py:13(<module>)
        1    0.000    0.000    0.002    0.002 axes.py:336(Axes)
       76    0.000    0.000    0.002    0.000 __init__.py:3019(_find_adapter)
        1    0.002    0.002    0.002    0.002 debian.py:31(<module>)
        2    0.000    0.000    0.002    0.001 pyparsing.py:1018(parseString)
       68    0.000    0.000    0.002    0.000 __init__.py:2081(find_distributions)
      371    0.000    0.000    0.002    0.000 posixpath.py:130(islink)
     9518    0.002    0.000    0.002    0.000 {setattr}
       64    0.001    0.000    0.002    0.000 fnmatch.py:45(filter)
        1    0.002    0.002    0.002    0.002 _datasource.py:33(<module>)
        1    0.000    0.000    0.002    0.002 subprocess.py:619(__init__)
        1    0.000    0.000    0.002    0.002 utils.py:5(<module>)
      139    0.001    0.000    0.002    0.000 minidom.py:1039(writexml)
        1    0.000    0.000    0.002    0.002 manifest.py:41(<module>)
        1    0.000    0.000    0.002    0.002 git.py:34(<module>)
    174/2    0.001    0.000    0.002    0.001 pyparsing.py:892(_parseNoCache)
        1    0.000    0.000    0.002    0.002 tcpros.py:43(<module>)
     30/2    0.000    0.000    0.002    0.001 pyparsing.py:2290(parseImpl)
       39    0.001    0.000    0.002    0.000 minidom.py:794(writexml)
        1    0.001    0.001    0.002    0.002 case.py:1(<module>)
        1    0.002    0.002    0.002    0.002 __init__.py:84(<module>)
        1    0.000    0.000    0.002    0.002 config.py:25(<module>)
       54    0.001    0.000    0.002    0.000 package.py:76(__init__)
       76    0.002    0.000    0.002    0.000 __init__.py:3012(_get_mro)
        1    0.001    0.001    0.002    0.002 numeric.py:1(<module>)
        1    0.000    0.000    0.002    0.002 msproxy.py:104(__getitem__)
        1    0.000    0.000    0.002    0.002 subprocess.py:1111(_execute_child)
      146    0.000    0.000    0.002    0.000 package.py:304(validate)
        1    0.000    0.000    0.002    0.002 xmlrpclib.py:1232(__call__)
        1    0.000    0.000    0.002    0.002 xmlrpclib.py:1577(__request)
      114    0.000    0.000    0.002    0.000 expatbuilder.py:155(getParser)
        1    0.000    0.000    0.002    0.002 __init__.py:44(<module>)
        1    0.000    0.000    0.002    0.002 xmlrpclib.py:1269(request)
        1    0.000    0.000    0.002    0.002 xmlrpclib.py:1290(single_request)
      571    0.001    0.000    0.002    0.000 sre_compile.py:354(_simple)
